MxForce	Drift	Press	TOTEN   	Filename
0.604	0.007	33.45	-71.146266  ./encut400/OUTCAR
0.598	0.014	72.18	-71.028093	./encut450/OUTCAR
0.570	0.000	80.41	-70.990423	./encut500/OUTCAR
0.600	0.003	81.01	-70.999028	./encut550/OUTCAR
0.596	0.007	78.99	-71.016846	./encut600/OUTCAR
0.604	0.000	77.94	-71.034363	./encut650/OUTCAR
0.578	0.000	79.32	-71.043387	./encut700/OUTCAR
0.601	0.000	79.94	-71.051542	./encut750/OUTCAR
0.586	0.077	81.07	-71.059968	./encut800/OUTCAR
0.588	0.073	81.92	-71.061823	./encut850/OUTCAR
