MxForce Atom #  Pressure        Drift   TOTEN	Filename
4.707   1       39.660000       0.014   -70.871523      encut400/OUTCAR
4.700   1       78.280000       0.019   -70.753411      encut450/OUTCAR
4.706   1       86.500000       0.020   -70.715520      encut500/OUTCAR
4.695   1       87.310000       0.013   -70.724627      encut550/OUTCAR
4.684   1       85.370000       0.043   -70.742064      encut600/OUTCAR
4.701   1       84.240000       0.008   -70.759853      encut650/OUTCAR
4.697   1       85.270000       0.004   -70.769200      encut700/OUTCAR
4.696   1       86.150000       0.012   -70.777371      encut750/OUTCAR
4.690   1       87.040000       0.075   -70.785657      encut800/OUTCAR
4.688   1       87.980000       0.075   -70.787516      encut850/OUTCAR
